name,x,y
ABRUPR,962.46,445.36
ABRUPR,898.68,409.44
ABRUPR,769.08,28.16
ACERLE,999.61,385.42
ACERLE,988.26,191.66
ACERLE,987.8,9.72
ACERLE,965.4,471.63
ACERLE,923.67,17.71
ACERLE,859.15,120.74
ACERLE,691.57,437.37
ACERLE,673.81,134.12
ACERLE,483.35,264.75
ACERLE,474.25,383.98
ACERLE,294.56,163.8
ACERLE,273.66,483.37
ACERLE,177.88,486.2
ACEROP,999.28,268.93
ACEROP,993.7,183.17
ACEROP,962.31,448.74
ACEROP,963.44,370.55
ACEROP,969.79,342.2
ACEROP,970.27,72.45
ACEROP,949.28,229.4
ACEROP,948.56,173.74
ACEROP,958.69,15.4
ACEROP,945.98,0.9
ACEROP,925.23,331.01
ACEROP,920.12,304.44
ACEROP,923.74,312.04
ACEROP,920.77,288.49
ACEROP,928.11,271.66
ACEROP,923.64,81.6
ACEROP,939.4,12.02
ACEROP,919.96,485.22
ACEROP,906.62,138.25
ACEROP,910.75,78.97
ACEROP,884.54,261.49
ACEROP,895.99,196.85
ACEROP,888.31,160.12
ACEROP,870.85,351.97
ACEROP,870.42,124.21
ACEROP,853.74,479.51
ACEROP,850.6,305.26
ACEROP,849.34,304.17
ACEROP,840.91,238.1
ACEROP,849.68,225.89
ACEROP,845.22,33.58
ACEROP,837.12,327.28
ACEROP,821.11,97.03
ACEROP,809.39,143.06
ACEROP,800.41,78.47
ACEROP,798.17,462.87
ACEROP,795.85,221.68
ACEROP,793.09,206.94
ACEROP,792.31,211.78
ACEROP,792.42,198.86
ACEROP,796.8,190.23
ACEROP,795.01,188.69
ACEROP,797.97,92.76
ACEROP,783.5,55.6
ACEROP,762.87,140.42
ACEROP,766.69,106.0
ACEROP,754.14,258.82
ACEROP,751.75,196.97
ACEROP,744.24,144.07
ACEROP,758.21,135.85
ACEROP,737.33,216.37
ACEROP,726.34,78.51
ACEROP,726.03,39.32
ACEROP,713.64,102.1
ACEROP,696.21,387.04
ACEROP,676.44,327.68
ACEROP,660.86,131.74
ACEROP,651.35,164.71
ACEROP,654.1,18.43
ACEROP,631.04,195.9
ACEROP,621.02,184.97
ACEROP,609.72,310.37
ACEROP,619.09,305.35
ACEROP,617.88,295.64
ACEROP,592.38,141.3
ACEROP,589.14,114.09
ACEROP,580.88,76.67
ACEROP,584.83,78.89
ACEROP,588.29,29.73
ACEROP,570.76,393.62
ACEROP,579.39,228.91
ACEROP,544.32,41.82
ACEROP,526.3,235.41
ACEROP,538.3,37.08
ACEROP,517.81,379.18
ACEROP,509.22,206.91
ACEROP,510.28,123.23
ACEROP,505.31,127.85
ACEROP,500.46,106.72
ACEROP,492.03,400.04
ACEROP,498.26,386.52
ACEROP,480.74,370.41
ACEROP,484.11,321.62
ACEROP,488.75,294.66
ACEROP,491.05,35.98
ACEROP,471.27,345.47
ACEROP,474.59,294.0
ACEROP,473.68,287.7
ACEROP,466.18,156.05
ACEROP,449.68,363.58
ACEROP,453.71,306.76
ACEROP,452.89,226.99
ACEROP,447.35,156.87
ACEROP,421.02,476.32
ACEROP,438.53,409.37
ACEROP,423.48,244.79
ACEROP,426.83,90.03
ACEROP,403.65,451.0
ACEROP,416.77,403.22
ACEROP,408.62,304.83
ACEROP,416.51,244.69
ACEROP,409.36,235.26
ACEROP,408.83,237.32
ACEROP,407.67,238.51
ACEROP,411.87,238.85
ACEROP,396.45,404.63
ACEROP,365.93,307.83
ACEROP,368.32,227.7
ACEROP,376.47,196.35
ACEROP,359.81,398.35
ACEROP,345.04,378.39
ACEROP,358.55,310.88
ACEROP,340.52,93.46
ACEROP,341.34,64.9
ACEROP,332.93,238.02
ACEROP,333.87,237.17
ACEROP,326.58,106.19
ACEROP,336.96,56.68
ACEROP,304.35,121.45
ACEROP,305.15,112.15
ACEROP,300.32,119.44
ACEROP,290.24,54.75
ACEROP,291.32,52.9
ACEROP,289.74,6.84
ACEROP,277.81,241.8
ACEROP,277.6,146.3
ACEROP,271.25,147.99
ACEROP,274.19,153.81
ACEROP,268.93,47.94
ACEROP,270.93,35.46
ACEROP,240.38,441.63
ACEROP,257.55,238.65
ACEROP,247.9,142.05
ACEROP,250.87,95.02
ACEROP,253.78,94.45
ACEROP,227.34,461.88
ACEROP,224.82,263.2
ACEROP,222.64,155.09
ACEROP,220.9,157.53
ACEROP,236.27,116.09
ACEROP,229.24,84.37
ACEROP,224.29,71.55
ACEROP,202.29,458.12
ACEROP,211.78,438.52
ACEROP,208.53,200.46
ACEROP,218.6,85.72
ACEROP,200.12,72.27
ACEROP,203.58,45.59
ACEROP,197.35,283.82
ACEROP,182.21,111.62
ACEROP,183.65,36.77
ACEROP,169.03,491.36
ACEROP,172.0,341.78
ACEROP,179.48,337.64
ACEROP,144.85,461.86
ACEROP,151.56,314.62
ACEROP,153.5,235.9
ACEROP,158.77,231.17
ACEROP,149.54,182.89
ACEROP,154.17,161.16
ACEROP,143.82,93.27
ACEROP,133.69,465.91
ACEROP,131.37,355.57
ACEROP,120.92,327.51
ACEROP,126.46,324.08
ACEROP,120.43,199.05
ACEROP,128.39,154.59
ACEROP,106.49,370.59
ACEROP,117.48,363.7
ACEROP,91.53,358.48
ACEROP,96.51,358.52
ACEROP,98.31,348.28
ACEROP,98.85,286.1
ACEROP,90.44,294.16
ACEROP,98.06,52.95
ACEROP,64.16,112.37
ACEROP,48.2,477.18
ACEROP,56.47,360.64
ACEROP,57.79,250.06
ACEROP,51.18,127.62
ACEROP,51.92,75.17
ACEROP,8.47,275.91
ACTINI,990.39,483.27
ACTINI,998.66,454.2
ACTINI,999.73,315.04
ACTINI,980.16,253.28
ACTINI,982.26,252.62
ACTINI,989.83,248.45
ACTINI,981.66,145.63
ACTINI,997.25,149.73
ACTINI,991.49,143.31
ACTINI,983.88,39.14
ACTINI,971.43,499.12
ACTINI,975.66,454.77
ACTINI,974.96,434.57
ACTINI,966.07,302.35
ACTINI,978.83,277.3
ACTINI,960.06,254.78
ACTINI,974.3,210.86
ACTINI,962.54,134.7
ACTINI,965.98,136.4
ACTINI,964.24,120.4
ACTINI,965.87,84.79
ACTINI,942.09,312.69
ACTINI,944.52,258.18
ACTINI,948.58,178.3
ACTINI,959.47,166.65
ACTINI,940.3,147.12
ACTINI,948.85,123.73
ACTINI,956.83,100.67
ACTINI,956.31,100.23
ACTINI,939.8,428.26
ACTINI,924.02,403.38
ACTINI,930.93,329.99
ACTINI,939.52,304.24
ACTINI,934.3,133.21
ACTINI,923.6,124.67
ACTINI,928.87,114.03
ACTINI,921.97,97.82
ACTINI,920.82,85.04
ACTINI,904.78,496.16
ACTINI,910.51,299.54
ACTINI,906.64,254.1
ACTINI,908.08,186.05
ACTINI,906.28,166.32
ACTINI,886.67,361.31
ACTINI,886.96,349.94
ACTINI,893.4,316.16
ACTINI,880.94,285.05
ACTINI,889.72,245.67
ACTINI,886.2,256.19
ACTINI,890.37,103.12
ACTINI,864.9,336.48
ACTINI,870.71,295.73
ACTINI,878.64,186.98
ACTINI,858.19,364.13
ACTINI,859.56,376.37
ACTINI,844.01,380.16
ACTINI,852.96,341.24
ACTINI,851.05,338.92
ACTINI,847.41,241.7
ACTINI,859.63,249.23
ACTINI,847.12,161.02
ACTINI,843.92,152.49
ACTINI,846.06,102.89
ACTINI,828.2,433.91
ACTINI,830.34,356.55
ACTINI,821.86,317.06
ACTINI,824.23,299.11
ACTINI,835.33,299.09
ACTINI,820.3,246.4
ACTINI,819.94,244.58
ACTINI,823.89,131.49
ACTINI,836.01,120.73
ACTINI,821.58,138.33
ACTINI,806.09,225.84
ACTINI,810.91,207.64
ACTINI,808.71,219.4
ACTINI,780.16,344.67
ACTINI,793.35,320.94
ACTINI,786.53,255.98
ACTINI,789.43,215.01
ACTINI,786.63,209.87
ACTINI,789.39,161.08
ACTINI,793.6,57.01
ACTINI,768.39,494.24
ACTINI,763.94,488.49
ACTINI,765.3,493.61
ACTINI,766.22,485.76
ACTINI,761.35,460.97
ACTINI,770.63,478.34
ACTINI,772.89,458.11
ACTINI,761.36,361.21
ACTINI,767.39,281.82
ACTINI,770.94,255.42
ACTINI,763.0,79.53
ACTINI,761.8,29.7
ACTINI,759.2,490.07
ACTINI,747.08,490.14
ACTINI,751.07,470.21
ACTINI,751.71,470.86
ACTINI,759.81,444.09
ACTINI,759.76,445.0
ACTINI,758.09,256.63
ACTINI,747.65,83.46
ACTINI,721.04,499.8
ACTINI,729.53,477.17
ACTINI,729.07,477.75
ACTINI,723.33,469.84
ACTINI,722.44,365.96
ACTINI,734.43,359.53
ACTINI,732.88,331.8
ACTINI,714.02,467.54
ACTINI,715.49,468.99
ACTINI,717.37,455.33
ACTINI,711.01,442.37
ACTINI,715.44,447.32
ACTINI,718.37,457.96
ACTINI,709.45,368.44
ACTINI,712.47,360.77
ACTINI,708.45,363.21
ACTINI,717.27,353.91
ACTINI,711.5,351.61
ACTINI,712.75,330.81
ACTINI,713.91,287.0
ACTINI,706.66,292.95
ACTINI,703.48,294.65
ACTINI,703.85,298.06
