name,count
Hybanthus prunifolius ,28960
Faramea occidentalis ,24449
Desmopsis panamensis,11505
Trichilia tuberculata ,10781
Alseis blackiana ,9113
Mouriri myrtilloides ,7459
Tetragastris panamensis ,5524
Garcinia intermedia ,5340
Hirtella triandra,4289
Swartzia simplex var. grandiflora ,3267
Protium tenuifolium ,3222
Protium panamense,3219
Swartzia simplex var. ochnacea ,3212
Capparis frondosa ,2840
Rinorea sylvatica,2551
Eugenia galalonensis ,2400
Quararibea asterolepis ,2310
Calophyllum longifolium ,2237
Drypetes standleyi,2233
Sorocea affinis ,2214
Eugenia oerstediana ,2138
Xylopia macrantha ,2131
Beilschmiedia pendula ,2119
Guarea guidonia ,2080
Oenocarpus mapora ,2065
Coussarea curvigemmia,2063
Tachigali panamensis,1950
Tabernaemontana arborea,1877
Psychotria horizontalis,1856
Simarouba amara,1855
Cupania seemannii,1649
Acalypha diversifolia,1562
Lacistema aggregatum,1460
Ouratea lucens,1392
Cecropia insignis,1381
Palicourea guianensis,1326
Prioria copaifera,1307
Maquira guianensis,1264
Pouteria reticulata,1211
Picramnia latifolia,1184
Pterocarpus hayesii,1184
Inga marginata,1162
Cassipourea elliptica,1158
Cordia lasiocalyx,1118
Virola sebifera,1116
Psychotria marginata,1003
Guatteria lucens,955
Anaxagorea panamensis,940
Randia armata,935
Inga acuminata,912
Talisia croatii,898
Heisteria concinna,877
Stylogyne turbacensis,863
Brosimum alicastrum,861
Poulsenia armata,859
Inga umbellifera,821
Chrysophyllum argenteum,819
Protium costaricense,772
Cordia bicolor,736
Talisia nervosa,732
Gustavia superba,713
Unonopsis pittieri,711
Lonchocarpus heptaphyllus,676
Guarea bullata,673
Miconia argentea,652
Siparuna pauciflora,651
Eugenia nesiotica,650
Croton billbergianus,634
Eugenia coloradoensis,629
Chamguava schippii,600
Herrania purpurea,587
Mosannona garwoodii,574
Inga nobilis,569
Casearia aculeata,556
Annona acuminata,545
Aspidosperma desmanthum,542
Ocotea cernua,513
Trichilia pallida,486
Miconia affinis,481
Alibertia edulis,473
Coccoloba manzanillensis ,464
Socratea exorrhiza,453
Laetia thamnia,450
Sloanea terniflora,447
Miconia nervosa,442
Chrysochlamys eclipes,432
Garcinia madruno,425
Ocotea whitei,412
Hasseltia floribunda,390
Erythroxylum macrophyllum,350
Inga umbellifera,344
Pentagonia macrophylla,340
Inga goldmanii ,323
Ocotea oblonga,321
Jacaranda copaia,309
Cecropia obtusifolia,298
Nectandra lineata ,277
Andira inermis,275
Alchornea costaricensis,271
Apeiba membranacea,268
Spondias radlkoferi,257
Tabebuia rosea,257
Triplaris cumingiana,250
Nectria cinnabarina ,249
Senna dariensis,248
Licania platypus,244
Guettarda foliacea,236
Trophis racemosa,236
Inga sapindoides,235
Zanthoxylum ekmanii,235
Cordia alliodora,223
Perebea xanthochyma,223
Ocotea puberula,203
Luehea seemannii,199
Platymiscium pinnatum,196
Zanthoxylum panamense,195
Coccoloba coronata,189
Chrysophyllum cainito,188
Inga pezizifera,172
Licania hypoleuca,169
Cupania rufescens,167
Pourouma bicolor,164
Spondias mombin,164
Solanum hayesii,163
Virola nobilis,159
Guapira standle,157
Symphonia globulifera,155
Ormosia macrocalyx,154
Ardisia standleyana,140
Piper reticulatum,138
Casearia sylvestris,136
Astronium graveolens,135
Astrocaryum standleyanum,133
Diospyros artanthifolia,131
Trophis caucana,131
Ormosia coccinea,124
Adelia triloba,121
Erythroxylum panamense,121
Hampea appendiculata,118
Quassia amara,113
Hieronyma alchorneoides,110
Hamelia axillaris,109
Casearia arborea,108
Celtis schippii,107
Lacmellea panamensis,106
Damburneya umbrosa,103
Bactris major,102
Allophylus psilospermus,101
Platypodium elegans,101
Piper cordulatum,98
Heisteria acuminata,97
Conostegia cinnamomea,94
Hura crepitans,94
Macrocnemum roseum,94
Cinnamomum triplinerve,92
Thevetia ahouai,89
Psychotria limonensis,87
Terminalia oblonga,87
Guarea grandifolia,86
Annona spraguei,84
Cestrum megalophyllum,83
Maytenus schippii,82
Guazuma ulmifolia,80
Cupania latifolia,76
Miconia hondurensis,76
Posoqueria latifolia,76
Psychotria graciliflora,74
Dendropanax arboreus,72
Zanthoxylum acuminatum,72
Trattinnickia aspera,71
Psychotria deflexa,70
Tabebuia guayacan,67
Bactris coloniata,66
Genipa americana,65
Myrcia gatunensis,65
Ceiba pentandra,64
Inga thibaudiana,64
Acalypha macrostachya,63
Dipteryx oleifera,63
Neea amplifolia,61
Erythrina costaricensis,60
Terminalia amazonia,58
Pouteria stipitata,57
Psidium friedrichsthalianum,57
Turpinia occidentalis,57
Inga laurina,53
Sterculia apetala,52
Trema micrantha,51
Vismia baccifera,51
Psychotria grandis,49
Inga punctata,48
Malpighia romeroana,47
Apeiba tibourbou,45
Acacia melanoceras,44
Clidemia dentata,44
Abarema macradenia,44
Lindackeria laurina,40
Piper cabagranum,39
Cavanillesia platanifolia,38
Vochysia ferruginea,38
Laetia procera,34
Sapium glandulosum,34
Virola fosteri,34
Pseudobombax septenatum,33
Attalea rostrata,32
Xylosma oligandra,31
Solanum splendens,28
Zuelania guidonia,28
Aegiphila panamensis,26
Marila laxiflora,26
Siparuna cristata,26
Piper subnudispicum,25
Anacardium excelsum,24
Elaeis oleifera,24
Casearia commersoniana,23
Psychotria chagrensis,23
Ardisia guianensis,22
Inga spectabilis,20
Palicourea acuminata,20
Amaioua glomerulata,19
Cupania cinerea,19
Piper playablancanum,19
Pachira sessilis,19
Urera baccifera,19
Hirtella americana,18
Myrospermum frutescens,16
Protium confusum,16
Theobroma cacao,16
Enterolobium schomburgkii,14
Ficus tonduzii,14
Bactris barronis,13
Casearia guianensis,13
Ficus insipida,12
Miconia impetiolaris,12
Solanum asperum,12
Ficus obtusifolia,11
Aphelandra sinclairiana,10
Ficus popenoei,10
Miconia elata,10
Palicourea racemosa,10
Spachea membranacea,10
Cecropia longipes,9
Ficus crocata,9
Piper culebranum,9
Schizolobium parahyba,9
Cedrela odorata,8
Ardisia bartlettii,7
Miconia octona,7
Inga ruiziana,7
Ochroma pyramidale,7
Tocoyena pittieri,7
Vismia billbergiana,7
Conostegia bracteata,6
Ficus costaricana,6
Ficus maxima,6
Inga oerstediana,6
Trema micrantha,6
Ficus yoponensis,5
Jacaratia spinosa,5
Palicourea hoffmannseggiana,5
Appunia seibertii,4
Brosimum guianense,4
Cestrum racemosum,4
Lafoensia punicifolia,4
Miconia prasina,4
Piper paulowniifolium,4
Piper albopunctulatissimum,4
Pouteria fossicola,4
Palicourea cyanococca,4
Trichospermum galeottii,4
Chamaedorea tepejilote,3
Chimarrhis parviflora,3
Colubrina glandulosa,3
Coutarea hexandra,3
Leandra dichotoma,3
Miconia dorsiloba,3
Sapium broadleaf,3
Solanum lepidotum,3
Cespedesia spathulata,2
Ficus pertusa,2
Margaritaria nobilis,2
Cojoba rufescens,2
Trichanthera gigantea,2
Bactris coloradonis,1
Miconia septuplinervia,1
Ficus citrifolia,1
Lozania pittieri,1
Maclura tinctoria,1
Nectandra fuzzy,1
Oreopanax capitatus,1
Ormosia amazonica,1
Piper longispicum,1
Pochota quinata,1
Pterocarpus officinalis,1
Rosenbergiodendron formosum,1
Rauvolfia littoralis,1
Tabernaemontana grandiflora,1
Tetrathylacium johansenii,1
Verbesina gigantea,1
