species,count
Celtis latifolia,9414
Gnetum gnemon,8063
Gymnacranthera farquhariana,7491
Mastixiodendron pachyclados,7273
Ficus hahliana,7195
Litsea timoriana,6142
Aphanamixis polystachya,5164
Dysoxylum arborescens,5114
Pimelodendron amboinicum,4878
Ixora novoguineensis,4274
Ficus badiopurpurea,4129
Pometia pinnata,4043
Harpullia longipetala,3962
Aglaia rimosa,3783
Dracaena angustifolia,3588
Horsfieldia basifissa,3549
Dysoxylum macrostachyum,3519
Chisocheton ceramicus,3259
Canarium acutifolium,3231
Aglaia lepiorrhachis,2998
Erythrospermum candidum,2973
Calophyllum soulattri,2903
Microcos grandiflora,2825
Chisocheton cumingianus,2817
Pseuduvaria macrocarpa,2745
Ternstroemia cherryi,2592
Ryparosa amplifolia,2545
Ficus conocephalifolia,2480
Ryparosa calotricha,2451
Graptophyllum pictum,2433
Myristica inutilis,2392
Randia schumanniana,2376
Cynometra schefferi,2305
Ixora amplexifolia,2284
Syzygium longipes,2263
Macaranga bifoveata,2139
Mallotus peltatus,2054
Haplolobus floribundus,2012
Medusanthera laxiflora,1986
Mallotus oblongifolius,1958
Sterculia shillinglawii,1888
Chisocheton trichocladus,1872
Planchonella xylocarpa,1796
Cryptocarya caloneura,1791
Microcos argentata,1755
Myristica globosa,1729
Semecarpus undulatus,1709
Ficus aurantiacafolia,1695
Ceodes longirostris,1590
Xanthophyllum papuanum,1554
Cynometra psilogyne,1538
Chisocheton weinlandii,1517
Aglaia agglomerata,1507
Ficus adelpha,1494
Pseuduvaria coriacea,1441
Dysoxylum parasiticum,1434
Cryptocarya mackinnoniana,1425
Sterculia ampla,1417
Dysoxylum alliaceum,1337
Aglaia argentea,1330
Macaranga punctata,1323
Planchonella myrsinodendron,1309
Leucosyke australis,1292
Aglaia tomentosa,1286
Ardisia imperialis,1284
Dysoxylum papuanum,1274
Palaquium galactoxylum,1244
Macaranga neobritannica,1240
Cynometra lenticellata,1231
Ziziphus angustifolia,1209
Merrilliodendron megacarpum,1157
Licuala beccariana,1145
Cupaniopsis acuticarpa,1141
Macaranga fallacina,1106
Tristiropsis acutangula,1100
Ficus pungens,1080
Barringtonia apiculata,1050
Syzygium gonatanthum,1049
Aglaia brownii,1034
Chionanthus ramiflora,1021
Galearia celebica,1012
Archidendron lucyi,1009
Monoon oblongifolium,1002
Kingiodendron alternifolium,998
Chionanthus brassii,998
Ficus wassa,997
Polyalthia longirostris,994
Litsea collina,958
Pleioluma firma,929
Actinodaphne nitida,900
Celtis philippensis,891
Dysoxylum excelsum,886
Endocomia macrocoma,876
Pterocymbium beccarii,848
Canarium indicum,834
Prunus schlechteri,831
Cryptocarya medicinalis,819
Myristica crassipes,809
Cynometra megalocephala,808
Maasia glauca,775
Palaquium warburgianum,772
Kingiodendron novoguineense,757
Pangium edule,744
Terminalia complanata,737
Horsfieldia hellwigii,731
Macaranga aleuritoides,724
Haplolobus lanceolatus,717
Ficus rubrivestimenta,701
Ficus arfakensis,691
Harpullia ramiflora,677
Intsia bijuga,666
Planchonella thyrsoidea,658
Semecarpus schlechteri,657
Tabernaemontana pandacaqui,653
Ficus erythrosperma,649
Aporosa papuana,639
Dysoxylum setosum,623
Syzygium hylophilum,606
Timonius rufescens,604
Neololeba atra,602
Gmelina moluccana,594
Cryptocarya multipaniculata,570
Ficus gul,542
Sandoricum koetjape,539
Goniothalamus imbricatus,536
Garcinia dulcis,532
Neonauclea obversifolia,526
Dracontomelon dao,526
Ixora timorensis,523
Cerbera floribunda,510
Dysoxylum pettigrewianum,501
Dracontomelon lenticulatum,500
Drypetes oblongifolia,497
Leea indica,485
Cryptocarya novo-guineensis,485
Picrasma javanica,484
Steganthera hirsuta,473
Lepidopetalum perrottetii,466
Microcos triflora,454
Artocarpus lacucha,451
Canarium oleosum,447
Sloanea sogerensis,445
Dendrocnide ternatensis,443
Palaquium morobense,443
Diospyros peekelii,442
Semecarpus australiensis,441
Cordyline terminalis,436
Allophylus cobbe,435
Mischocarpus sundaicus,411
Cinnamomum grandiflorum,405
Prunus gazelle-peninsulae,404
Chisocheton longistipitatus,394
Cupaniopsis macropetala,394
Ganophyllum falcatum,392
Pandanus kaernbachii,382
Ochrosia citrodora,381
Syzygium goniopterum,377
Ficus variegata,377
Elaeocarpus amplifolius,376
Wrightia laevis,372
Elaeocarpus undulatus,369
Alstonia scholaris,365
Horsfieldia sylvestris,364
Melicope elleryana,363
Aganope heptaphylla,360
Terminalia impediens,352
Horsfieldia irya,351
Trichospermum pleiostigma,351
Teijsmanniodendron bogoriense,349
Oreocnide trinervis,347
Drypetes lasiogynoides,342
Syzygium furfuraceum,340
Pterocarpus indicus,338
Harpullia arborea,335
Ailanthus integrifolia,332
Ficus hombroniana,327
Chisocheton lasiocarpus,325
Ficus nodosa,325
Artocarpus sepicanus,324
Nauclea orientalis,321
Chisocheton formicarum,320
Neuburgia corynocarpa,314
Celtis nymanii,313
Elaeocarpus miegei,298
Drepananthus polycarpus,298
Siphonodon celastrineus,297
Hopea novoguineensis,296
Benstonea stenocarpa,292
Dictyoneura obtusa,291
Claoxylon indicum,290
Barringtonia novae-hiberniae,287
Protium macgregorii,286
Myristica subalulata,277
