x,y,name
499.6,111.3,alsebl
496.3,7.2,tocopi
496.4,19.3,tab1ro
484.7,10.7,guargu
482.6,18.2,quaras
485.3,39.5,quaras
480.3,24.3,termob
484.8,28.7,gustsu
496.9,25.4,virosu
498.0,39.6,hyeral
491.0,34.2,poular
487.0,28.2,poular
487.8,50.4,cassel
482.1,59.4,anacex
493.0,58.0,virosu
487.9,55.5,alsebl
499.4,79.3,poular
480.4,74.6,drypst
488.6,84.1,virosu
480.5,85.2,pri2co
495.3,90.1,quaras
482.3,81.0,poutfo
480.2,89.7,guapst
480.5,101.3,jac1co
498.0,117.1,protte
491.0,104.0,jac1co
486.3,106.1,tab2ar
493.5,124.6,phoeci
485.8,139.4,apeime
499.3,128.3,protte
480.4,146.3,virose
498.1,153.0,gustsu
484.5,163.5,pri2co
495.8,165.9,quaras
488.5,197.6,hirttr
486.9,187.3,tab1gu
490.4,186.9,tri2tu
496.4,215.6,chr2ar
481.4,219.4,lindla
493.5,208.2,jac1co
492.4,216.7,tri2tu
482.9,223.9,hyeral
482.7,231.9,virose
496.6,271.1,jac1co
489.6,275.3,poutre
498.2,261.2,tri2tu
493.7,284.1,pri2co
480.5,291.5,cordbi
488.3,295.2,tri2tu
497.6,294.0,tab2ar
490.2,281.0,virose
489.5,290.1,guatdu
495.5,290.6,pla2el
492.6,294.3,chr2ca
484.8,313.4,heisco
483.8,316.2,pla1pi
487.2,319.0,alsebl
487.2,340.2,virosu
481.5,328.3,lindla
485.2,330.2,heisco
499.4,354.2,beilpe
497.5,341.7,protte
484.0,371.4,beilpe
494.5,376.4,beilpe
489.0,392.0,beilpe
488.0,380.6,beilpe
498.1,387.4,tri2tu
494.6,387.0,beilpe
494.5,401.8,cecrin
480.1,403.5,tri2tu
488.6,404.7,quaras
491.4,405.1,guargu
480.3,436.8,tab2ar
498.8,439.4,brosal
483.8,435.3,dendar
482.3,427.0,pla2el
485.7,437.0,tab2ar
497.9,440.9,virose
481.4,459.8,alsebl
497.6,474.7,cordbi
492.4,476.8,dendar
496.2,477.3,dendar
487.3,478.1,chr2ca
498.6,499.0,ceibpe
493.3,484.7,dendar
491.0,492.6,termob
491.0,494.6,alsebl
461.1,498.9,quaras
469.7,494.6,ast1st
476.9,494.4,termam
471.6,486.5,protte
452.9,317.4,andiin
466.3,487.5,hyeral
479.3,466.6,ficuyo
471.2,467.6,dendar
465.3,467.8,apeime
464.1,452.4,cavapl
463.4,452.8,alsebl
470.9,453.0,beilpe
479.8,455.4,brosal
479.7,456.6,virose
476.0,449.3,quaras
477.9,445.2,tri2tu
461.2,439.6,apeime
461.5,433.4,hirttr
464.0,434.2,alsebl
466.2,435.3,tri2tu
470.2,438.5,beilpe
477.1,428.1,simaam
473.7,426.9,alsebl
470.5,427.5,pla1pi
460.9,420.5,beilpe
478.1,419.6,simaam
477.1,418.2,tri2pa
476.1,416.1,beilpe
478.9,413.0,pla1pi
472.6,407.4,zantpr
472.9,399.1,virose
