name,count
faraoc,617663
hybapr,338678
tri2tu,218695
alsebl,205014
des2pa,141537
pri2co,139252
hirttr,119797
tet2pa,110991
oenoma,108218
tab2ar,105841
quaras,102640
mourmy,87169
jac1co,73468
cordbi,70736
virose,70485
protpa,64610
simaam,62434
cecrin,62330
gar2in,60615
beilpe,59137
swars2,57163
poular,54436
poutre,49766
protte,49599
cou2cu,48812
swars1,48203
tachve,42524
soroaf,41084
brosal,40553
apeime,39863
heisco,39093
socrex,38974
eugeoe,37563
guatdu,37192
guargu,37147
zantbe,35730
maquco,35126
cassel,32780
cordla,31876
randar,30834
calolo,30678
pterro,30177
loncla,27008
gustsu,26487
rinosy,26179
cappfr,24854
cupasy,24048
hassfl,23778
unonpi,23467
ceibpe,23460
laciag,22475
alchco,22339
drypst,22319
virosu,22318
eugega,22288
luehse,21469
psycho,20520
protco,20293
anaxpa,20070
xyl1ma,19156
chr2ar,18615
paligu,18152
ingama,17747
ingaum,17693
guapst,17333
cecrob,16922
tri2pa,16608
crotbi,16145
ocotwh,15731
cha2sc,14625
dendar,13715
sponmo,13642
ingaqu,13566
micoar,13508
sponra,13286
eugeco,13125
micoaf,13070
ingath,12984
ouralu,12860
pla2el,12754
sloate,12612
anacex,12563
pla1pi,12246
zantp1,12051
perexa,11956
hyeral,11786
laetth,11666
cordal,11509
huracr,11324
eugene,11182
acaldi,11102
diptpa,10956
malmsp,10789
guarsp,10785
ast1st,10525
casear,10511
tripcu,10128
picrla,10115
aspicr,10054
ingas1,9823
tab1ro,9735
ingasa,9708
herrpu,9460
nectci,9343
ocotob,9204
tratas,9158
gar2ma,8996
ingago,8930
ast2gr,8851
termam,8746
guetfo,8673
psycma,8133
elaeol,8131
coccma,7680
stylst,7655
tab1gu,7581
sch1zo,7543
annoac,7453
lacmpa,7395
pourbi,7362
chr1ec,7326
ocotce,7005
ocotpu,6531
chr2ca,6383
alibed,6228
caseac,6216
sterap,6170
guazul,5851
lindla,5782
andiin,5648
zantpr,5506
micone,5407
celtsc,5395
turpoc,4966
casesy,4875
talipr,4713
sipapa,4568
allops,4314
pentma,4254
bactma,4193
poutst,4184
tropra,4178
ficuob,4173
ade1tr,4021
laetpr,3992
taline,3978
hampap,3823
sympgl,3610
tremin,3600
ochrpy,3580
dio2ar,3519
micoho,3501
annosp,3397
pipere,3395
coccco,3314
guargr,3272
pse1se,3213
ery2ma,3187
phoeci,3099
ery1co,3087
vochfe,2994
licahy,2988
ficuyo,2915
termob,2778
maytsc,2740
solaha,2721
apeiti,2670
geniam,2610
cuparu,2578
posola,2444
ingafa,2419
pit1ma,2383
ficuc2,2319
sennda,2276
nectpu,2261
heisac,2252
sipacr,2116
thevah,2100
virosp,2094
acalma,2077
nectgl,2042
ormoma,2038
ingasp,1982
cupala,1889
licapl,1827
aegipa,1817
ficupo,1726
sapiau,1672
tocopi,1552
olmeas,1549
ery2pa,1415
ingapu,1410
lafopu,1388
ficuto,1354
vismba,1352
hameax,1286
myrofr,1194
caseco,1183
xyl2ol,1173
ingaco,1151
tremmi,1130
spacme,1094
poutfo,1068
tet4jo,1050
psycg3,1047
psycg1,956
zuelgu,953
cavapl,916
quasam,900
myrcga,892
conoci,838
ormocr,721
neeaam,710
schipa,672
ardife,636
ficuma,631
ingaru,619
colugl,591
pipecu,587
cedrod,561
psidfr,540
pipeco,515
ficuin,514
cestme,472
cecrlo,451
theoca,450
entesc,438
ingami,434
pochqu,417
macrgl,406
pipea1,399
psycde,390
clidde,387
maclti,380
cupaci,349
malpro,313
ardigu,311
mar1la,305
micoel,300
bactc1,291
solaas,289
margno,278
tri1gi,266
casegu,265
hirtam,263
alchla,248
acacme,244
psycli,216
couthe,212
pipeae,200
chimpa,189
psycch,186
psycac,150
aphesi,146
urerba,142
cyphha,137
bactba,129
micopr,124
carica,121
micoim,105
amaico,87
solast,84
ficutr,78
ficuci,75
psycra,68
brosgu,56
tri4ga,50
lozapi,42
pipeca,42
pipepe,39
ingape,39
psycb1,38
cha1te,37
micodo,33
clidoc,23
vismma,21
boropa,13
leandi,13
psycfu,11
bactc2,-1
solaar,-1
