x,y,boh,name
0,74.9,-1,alsebl
0,99.6,14,picrla
0,244.1,12,alsebl
0,308.7,13,casesy
0,486.7,28,calolo
0,495.6,10,psycho
0.02,374.64,16,protte
0.1,15.5,55,tab1ro
0.1,16,20,acaldi
0.1,32.9,27,simaam
0.1,37.2,30,pourbi
0.1,55.2,49,chr1ec
0.1,77.6,36,calolo
0.1,131.5,35,gar2in
0.1,167.6,128,faraoc
0.1,178.1,18,tet2pa
0.1,190.8,54,micoaf
0.1,195.8,35,des2pa
0.1,209.5,60,protte
0.1,220.9,17,hybapr
0.1,239.5,-1,micoaf
0.1,242.1,18,ouralu
0.1,307,24,soroaf
0.1,317.4,14,sipapa
0.1,322.9,24,quaras
0.1,323.2,16,psycho
0.1,347.5,24,hybapr
0.1,441.8,16,rinosy
0.1,462.3,39,maquco
0.1,463.1,34,quaras
0.1,483.9,41,des2pa
0.11,79.2,11,stylst
0.12,191.24,-1,micoel
0.12,283.42,21,alsebl
0.18,52.21,-1,pterro
0.2,19.5,40,ocotce
0.2,60.4,21,hirttr
0.2,79,16,des2pa
0.2,166.3,228,alsebl
0.2,185.9,68,nectci
0.2,187.4,32,hybapr
0.2,192.4,-1,unonpi
0.2,192.9,120,beilpe
0.2,196.7,48,pourbi
0.2,216.2,37,cappfr
0.2,250.2,24,hybapr
0.2,267.2,12,gar2in
0.2,340.38,84,crotbi
0.2,376.1,31,mourmy
0.2,407.5,58,tachve
0.2,439,135,faraoc
0.2,483.5,38,rinosy
0.2,495.4,48,alsebl
0.23,37.82,19,gar2in
0.23,131.04,17,hybapr
0.24,310.18,14,hybapr
0.25,302.54,11,protpa
0.25,369.72,10,eugeoe
0.27,82.55,19,quaras
0.27,254.71,15,beilpe
0.27,288.31,23,tab2ar
0.28,293.64,85,tab2ar
0.3,14.7,55,pentma
0.3,31.8,58,acaldi
0.3,38.7,23,protpa
0.3,147.1,32,faraoc
0.3,154.8,32,protpa
0.3,159.3,12,alsebl
0.3,172.6,139,faraoc
0.3,194.8,23,mourmy
0.3,231.36,16,hybapr
0.3,265.9,28,des2pa
0.3,283.7,21,hybapr
0.3,305.9,57,pri2co
0.3,320.1,-1,alsebl
0.3,336.9,14,des2pa
0.3,337.4,78,protte
0.3,367.8,17,swars2
0.3,373.8,43,pri2co
0.3,375.6,243,quaras
0.3,444,21,mourmy
0.3,498.5,16,alsebl
0.34,123.76,15,ocotob
0.35,53.51,59,cecrin
0.35,63.41,115,cecrin
0.37,126.87,19,des2pa
0.4,129.8,28,unonpi
0.4,182.7,19,hybapr
0.4,247.43,29,cordla
0.4,282.8,32,protte
0.4,309.7,73,tet2pa
0.4,313.6,520,tab2ar
0.4,348.2,-1,psycho
0.4,389.9,12,faraoc
0.4,395.2,63,oenoma
0.4,401.9,374,tri2tu
0.4,416.1,53,faraoc
0.4,438.8,68,socrex
0.43,285.19,18,hybapr
0.45,212.04,14,beilpe
0.45,438.37,12,rinosy
0.48,71.86,13,mourmy
0.49,468.26,18,alsebl
0.5,17.4,17,acaldi
0.5,45.2,70,poular
0.5,109.5,18,faraoc
0.5,120.9,39,hybapr
0.5,131.7,31,calolo
0.5,150.4,17,ormoma
0.5,248.2,16,alsebl
0.5,327.8,24,calolo
0.5,352.7,14,mourmy
0.5,373,42,tet2pa
0.5,404.1,-1,ingath
0.5,459.7,19,tri2tu
0.53,184.49,13,alsebl
0.57,372.46,11,tet2pa
0.58,81.64,12,alsebl
0.59,117.15,21,tri2tu
0.6,39.2,19,des2pa
0.6,39.6,48,protpa
0.6,146.1,-1,des2pa
0.6,178,-1,hybapr
0.6,226.8,12,nectci
0.6,277.9,57,protpa
0.6,303.5,39,coccma
0.6,349.3,118,cordbi
0.6,414.6,21,faraoc
0.6,422.9,48,cappfr
0.6,423,28,hirttr
0.6,464.8,37,rinosy
0.6,486,27,tachve
0.6,486.9,184,quaras
0.6,487.9,14,mourmy
0.63,364.46,13,hybapr
0.66,57.75,27,sponra
0.66,320.69,14,micone
0.7,40.3,13,hybapr
0.7,66.7,23,faraoc
0.7,109.7,27,hirttr
0.7,117.7,22,stylst
0.7,176.6,346,pourbi
0.7,198.8,18,des2pa
0.7,205.4,-1,ingama
0.7,206.1,-1,coccma
0.7,242.9,58,swars2
0.7,423.1,33,protte
0.7,452,22,gar2ma
0.7,459.1,21,stylst
0.79,152.87,19,faraoc
0.8,24.7,24,guargu
0.8,76.1,32,guargu
0.8,77.4,20,beilpe
0.8,79.4,21,mourmy
0.8,97.5,125,socrex
0.8,99.2,34,hybapr
0.8,116,26,protpa
0.8,121.9,17,hybapr
0.8,128.4,17,quaras
0.8,198.9,131,faraoc
0.8,206.6,15,hybapr
0.8,208.8,128,ingath
0.8,219.7,51,sloate
0.8,224.1,61,des2pa
0.8,241.7,45,des2pa
0.8,243.9,44,hybapr
0.8,303.6,43,coccma
0.8,326.2,192,crotbi
0.8,351.3,62,faraoc
0.8,404,14,tachve
0.8,453.6,27,faraoc
0.8,487.6,-1,des2pa
0.82,154.45,14,tachve
0.83,135.43,19,mourmy
0.83,148,25,sipapa
0.83,253.46,18,simaam
0.85,49.57,16,beilpe
0.88,457.1,14,cordla
0.9,9.2,45,sympgl
0.9,40.7,73,cordla
0.9,46.8,17,des2pa
0.9,77.8,648,quaras
0.9,102.9,70,oenoma
0.9,209.3,12,alsebl
0.9,228.1,49,beilpe
0.9,254.8,19,alsebl
0.9,259.1,123,oenoma
0.9,301.3,33,hybapr
0.9,311.2,122,sloate
0.9,460.7,28,hybapr
0.9,485.4,22,hirttr
0.9,489.4,52,faraoc
0.97,295.47,41,bactc1
0.98,52.14,17,loncla
0.99,128.37,10,tet2pa
1,20,20,tab2ar
1,48,47,beilpe
1,174.8,39,mourmy
1,243.6,86,pterro
1,254.7,-1,hybapr
1,266.4,24,gar2in
1,267.1,-1,guarsp
1,285.2,24,ormoma
1,288,63,faraoc
1,317.4,86,faraoc
1,373.6,461,zantp1
1,377.3,63,hirttr
1,402.3,36,tet2pa
1,403.2,18,hybapr
1,407.1,63,faraoc
1,409.3,18,chr2ar
1,415.5,44,faraoc
1,471.1,24,hybapr
1,478.7,14,calolo
1,495.2,14,alsebl
