x,y,name
499.6,111.3,alsebl
496.3,7.2,tocopi
496.4,19.3,tab1ro
484.7,10.7,guargu
482.6,18.2,quaras
490.6,7.1,maytsc
485.3,39.5,quaras
480.3,24.3,termob
494.9,21.0,simaam
484.8,28.7,gustsu
496.9,25.4,virosu
498.0,39.6,hyeral
491.0,34.2,poular
487.0,28.2,poular
487.8,50.4,cassel
482.1,59.4,anacex
493.0,58.0,virosu
487.9,55.5,alsebl
499.4,79.3,poular
480.4,74.6,drypst
488.9,74.6,tri2tu
498.3,71.4,poular
488.6,84.1,virosu
480.5,85.2,pri2co
495.3,90.1,quaras
482.3,81.0,poutfo
499.6,85.7,guatdu
480.2,89.7,guapst
487.5,90.3,apeime
480.5,101.3,jac1co
498.0,117.1,protte
491.0,104.0,jac1co
487.0,109.0,cordbi
482.2,103.9,tet2pa
486.3,106.1,tab2ar
493.5,124.6,phoeci
485.8,139.4,apeime
499.3,128.3,protte
480.4,146.3,virose
498.1,153.0,gustsu
481.2,178.3,tri2tu
484.5,163.5,pri2co
495.8,165.9,quaras
491.3,178.9,licahy
488.5,197.6,hirttr
486.9,187.3,tab1gu
491.1,182.2,gustsu
490.4,186.9,tri2tu
496.4,215.6,chr2ar
481.4,219.4,lindla
498.1,204.7,hirttr
493.5,208.2,jac1co
492.4,216.7,tri2tu
482.9,223.9,hyeral
494.5,237.8,pla1pi
482.7,231.9,virose
496.6,271.1,jac1co
489.6,275.3,poutre
499.8,265.2,guarsp
498.2,261.2,tri2tu
493.7,284.1,pri2co
480.5,291.5,cordbi
488.3,295.2,tri2tu
497.6,294.0,tab2ar
490.2,281.0,virose
489.5,290.1,guatdu
492.8,297.7,hirttr
495.5,290.6,pla2el
492.6,294.3,chr2ca
484.8,313.4,heisco
483.8,316.2,pla1pi
499.5,314.6,tri2tu
495.4,300.5,quaras
487.2,319.0,alsebl
487.2,340.2,virosu
499.3,330.5,guatdu
481.5,328.3,lindla
485.2,330.2,heisco
481.1,359.7,micoar
499.4,354.2,beilpe
497.5,341.7,protte
496.2,378.1,ficuob
484.0,375.9,beilpe
484.0,371.4,beilpe
494.5,376.4,beilpe
489.0,392.0,beilpe
488.0,380.6,beilpe
490.2,390.5,apeime
498.1,387.4,tri2tu
494.6,387.0,beilpe
494.5,401.8,cecrin
480.1,403.5,tri2tu
488.6,404.7,quaras
491.4,405.1,guargu
480.3,436.8,tab2ar
498.8,439.4,brosal
483.1,423.1,tab2ar
483.8,435.3,dendar
482.3,427.0,pla2el
485.7,437.0,tab2ar
483.4,423.3,dendar
497.9,440.9,virose
481.4,459.8,alsebl
497.6,474.7,cordbi
490.4,472.3,casear
492.4,476.8,dendar
496.2,477.3,dendar
487.3,478.1,chr2ca
498.6,499.0,ceibpe
493.3,484.7,dendar
491.0,492.6,termob
497.8,488.0,zantp1
491.0,494.6,alsebl
461.1,498.9,quaras
469.7,494.6,ast1st
476.9,494.4,termam
476.1,488.4,guazul
471.6,486.5,protte
