name,count
faraoc,586419
hybapr,463349
tri2tu,326739
alsebl,190036
des2pa,150085
pri2co,126794
hirttr,109641
oenoma,105781
tet2pa,104845
quaras,104252
virose,90127
poular,88380
tab2ar,87964
mourmy,87901
beilpe,76357
cordbi,66499
jac1co,66416
simaam,64716
protpa,62124
guatdu,56207
socrex,55342
tachve,55014
soroaf,53837
swars2,53039
cou2cu,50694
protte,49876
poutre,48118
cordla,47449
gar2in,46218
eugeoe,46011
brosal,43708
cecrin,43640
apeime,42405
swars1,41686
hassfl,38829
psycho,37826
guargu,34861
heisco,34850
maquco,34847
randar,32796
loncla,32584
pterro,31797
gustsu,31703
cappfr,30840
zantbe,28061
rinosy,27843
crotbi,27673
laciag,27402
virosu,27367
paligu,26483
unonpi,25306
cassel,24424
ceibpe,22766
dendar,22636
casear,22292
protco,21650
calolo,21358
cupasy,21116
ingaum,20869
luehse,20249
alchco,20242
drypst,19668
micoar,19432
guarsp,19116
ocotwh,19039
chr2ar,18809
tri2pa,17474
guapst,17130
pla2el,16959
ingama,16255
eugeco,16088
ast1st,15894
pla1pi,15389
pipeco,14882
eugega,14836
laetth,14770
sloate,13562
huracr,13503
anacex,13245
ingaqu,13025
sponra,12924
ouralu,12875
micoaf,12777
anaxpa,12733
gar2ma,12238
zantp1,12225
hyeral,12108
ingago,11809
nectci,11756
eugene,11481
tripcu,11449
picrla,11202
tab1ro,10994
diptpa,10898
ingasa,10847
guetfo,10724
xyl1ma,10678
perexa,10308
tratas,10276
lindla,10261
sponmo,10185
stylst,9859
cordal,9663
coccma,9615
termam,8785
malmsp,8616
ocotce,8523
herrpu,8410
elaeol,8145
annoac,8121
acaldi,8001
sch1zo,7930
cha2sc,7827
bactma,7792
zantpr,7717
ast2gr,7575
tab1gu,7557
psycma,7517
aspicr,7352
casesy,7330
ocotpu,7325
ery1co,7261
turpoc,6829
chr1ec,6816
caseac,6698
tropra,6151
ade1tr,6011
sympgl,5950
alibed,5790
andiin,5750
celtsc,5540
lacmpa,5501
chr2ca,5490
sipapa,5479
pentma,5473
talipr,5452
sterap,5422
coccco,5224
ingaco,5121
poutst,5064
ingas1,4952
phoeci,4846
ingath,4834
guazul,4821
allops,4426
ocotob,4392
ery2ma,4215
micone,4118
licahy,4091
aegipa,4091
taline,4058
laetpr,4019
pipere,3900
pourbi,3891
hampap,3737
annosp,3686
ficuto,3622
olmeas,3607
cecrob,3602
sipacr,3397
maytsc,3247
solaha,3039
tremsp,2877
vochfe,2871
thevah,2855
geniam,2814
sapiau,2805
ficuyo,2748
ingaun,2722
vismba,2656
ormoma,2651
ficupo,2594
guargr,2585
cuparu,2581
pse1se,2562
xyl2ol,2549
termob,2472
heisac,2468
dio2ar,2404
apeiti,2356
ingafa,2347
posola,2242
ingasp,2200
virosp,2175
ficuob,1981
nectgl,1945
nectpu,1914
tet4jo,1882
licapl,1866
tocopi,1833
micoho,1821
cestme,1693
ochrpy,1687
pipecu,1658
ery2pa,1627
lafopu,1597
acalma,1594
ficuc2,1571
conoci,1532
spacme,1502
quasam,1485
sennda,1469
zuelgu,1354
cupala,1301
myrofr,1224
ficuin,1203
myrcga,1172
hameax,1164
pit1ma,1150
micoel,1107
caseco,1079
ingapu,1013
poutfo,985
cavapl,979
pipea1,965
theoca,944
psycg3,929
hirtam,812
psycde,734
neeaam,682
psycg1,659
ingaru,647
pipeae,641
ormocr,640
ardife,639
entesc,606
ingami,591
tri4ga,585
tri1gi,532
malpro,531
cupaci,529
koanwe,479
psidfr,461
bactc1,456
colugl,451
mar1la,399
cespma,367
alchla,354
casegu,335
ardigu,333
bactba,327
macrgl,302
cedrod,285
pochqu,282
lozapi,241
schipa,224
micoim,203
ficuma,192
psycac,191
uniden,176
pipepe,164
aphesi,163
maclti,155
banagu,150
psycli,135
cha1te,132
clidde,131
ficuc1,130
bactc2,122
psycch,122
margno,118
solaas,112
chimpa,110
solast,98
acacme,92
cyphha,86
couthe,70
ingam1,68
amaico,61
hamepa,53
brosgu,44
vismbi,43
pipeim,41
cnempe,41
psycg2,41
urerba,33
pterof,25
ficuci,17
ormoam,15
pipeca,12
leandi,12
psycpi,12
conobr,11
boropa,10
micopr,10
psycfu,10
psycra,9
solaar,-1
