name,x,y
ACERLE,483.36,264.75
ACERLE,474.26,383.98
ACERLE,294.57,163.8
ACERLE,273.67,483.37
ACERLE,224.1,194.88
ACERLE,177.89,486.2
ACEROP,509.23,206.91
ACEROP,510.29,123.23
ACEROP,505.32,127.85
ACEROP,500.47,106.72
ACEROP,492.04,400.04
ACEROP,498.27,386.52
ACEROP,480.75,370.41
ACEROP,484.12,321.62
ACEROP,488.76,294.66
ACEROP,491.06,35.98
ACEROP,471.28,345.47
ACEROP,474.6,294.0
ACEROP,473.69,287.7
ACEROP,466.19,156.05
ACEROP,449.69,363.58
ACEROP,453.72,306.76
ACEROP,452.9,226.99
ACEROP,447.36,156.87
ACEROP,421.03,476.32
ACEROP,438.54,409.37
ACEROP,423.97,284.76
ACEROP,423.49,244.79
ACEROP,422.6,199.47
ACEROP,426.84,90.03
ACEROP,403.66,451.0
ACEROP,416.78,403.22
ACEROP,408.63,304.83
ACEROP,409.37,235.26
ACEROP,408.84,237.32
ACEROP,407.68,238.51
ACEROP,411.88,238.85
ACEROP,396.46,404.63
ACEROP,365.94,307.83
ACEROP,368.33,227.7
ACEROP,376.48,196.35
ACEROP,359.82,398.35
ACEROP,345.05,378.39
ACEROP,358.56,310.88
ACEROP,340.53,93.46
ACEROP,341.35,64.9
ACEROP,332.94,238.02
ACEROP,333.88,237.17
ACEROP,326.59,106.19
ACEROP,336.97,56.68
ACEROP,304.36,121.45
ACEROP,305.16,112.15
ACEROP,300.33,119.44
ACEROP,290.25,54.75
ACEROP,291.33,52.9
ACEROP,289.75,6.84
ACEROP,277.82,241.8
ACEROP,279.13,253.92
ACEROP,278.14,193.2
ACEROP,277.61,146.3
ACEROP,271.26,147.99
ACEROP,274.2,153.81
ACEROP,268.94,47.94
ACEROP,270.94,35.46
ACEROP,240.39,441.63
ACEROP,257.56,238.65
ACEROP,247.91,142.05
ACEROP,250.88,95.02
ACEROP,253.79,94.45
ACEROP,227.35,461.88
ACEROP,224.83,263.2
ACEROP,222.65,155.09
ACEROP,220.91,157.53
ACEROP,236.28,116.09
ACEROP,229.25,84.37
ACEROP,224.3,71.55
ACEROP,202.3,458.12
ACEROP,211.79,438.52
ACEROP,208.54,200.46
ACEROP,218.61,85.72
ACEROP,200.13,72.27
ACEROP,203.59,45.59
ACEROP,197.36,283.82
ACEROP,191.72,255.05
ACEROP,182.22,111.62
ACEROP,181.47,34.99
ACEROP,183.66,36.77
ACEROP,169.04,491.36
ACEROP,172.01,341.78
ACEROP,179.49,337.64
ACEROP,144.86,461.86
ACEROP,143.46,444.41
ACEROP,151.57,314.62
ACEROP,153.51,235.9
ACEROP,158.78,231.17
ACEROP,149.55,182.89
ACEROP,154.18,161.16
ACEROP,143.83,93.27
ACEROP,133.7,465.91
ACEROP,131.38,355.57
ACEROP,120.93,327.51
ACEROP,126.47,324.08
ACEROP,120.44,199.05
ACEROP,128.4,154.59
ACEROP,106.5,370.59
ACEROP,117.49,363.7
ACEROP,91.54,358.48
ACEROP,96.52,358.52
ACEROP,98.32,348.28
ACEROP,98.86,286.1
ACEROP,90.45,294.16
ACEROP,98.07,52.95
ACEROP,64.17,112.37
ACEROP,48.21,477.18
ACEROP,56.48,360.64
ACEROP,57.8,250.06
ACEROP,51.19,127.62
ACEROP,51.93,75.17
ACEROP,8.48,275.91
ACTINI,502.68,448.95
ACTINI,504.88,457.88
ACTINI,503.7,380.73
ACTINI,505.69,317.53
ACTINI,510.6,200.86
ACTINI,511.54,181.02
ACTINI,501.02,170.28
ACTINI,508.55,118.42
ACTINI,500.84,37.85
ACTINI,493.81,450.17
ACTINI,497.61,438.57
ACTINI,499.56,407.11
ACTINI,495.64,418.3
ACTINI,491.95,419.32
ACTINI,492.11,418.92
ACTINI,492.09,373.42
ACTINI,484.5,362.68
ACTINI,481.62,350.54
ACTINI,499.08,183.56
ACTINI,481.6,96.7
ACTINI,499.15,73.85
ACTINI,484.42,33.82
ACTINI,495.58,26.89
ACTINI,497.78,14.25
ACTINI,498.47,14.02
ACTINI,492.07,4.3
ACTINI,469.84,494.15
ACTINI,463.64,456.75
ACTINI,467.97,426.05
ACTINI,466.02,406.85
ACTINI,474.48,366.39
ACTINI,465.99,370.83
ACTINI,461.24,330.13
ACTINI,463.05,319.93
ACTINI,479.21,162.26
ACTINI,468.91,144.12
ACTINI,475.4,138.89
ACTINI,464.6,132.14
ACTINI,466.25,118.58
ACTINI,469.25,99.08
ACTINI,461.02,81.97
ACTINI,478.66,89.81
ACTINI,478.45,89.99
ACTINI,472.87,55.84
ACTINI,470.64,18.57
ACTINI,472.87,16.25
ACTINI,472.16,14.7
ACTINI,450.32,491.33
ACTINI,458.85,481.17
ACTINI,454.59,486.62
ACTINI,457.25,489.85
ACTINI,456.82,468.9
ACTINI,441.49,472.95
ACTINI,448.26,469.31
ACTINI,453.29,469.72
ACTINI,457.97,469.66
ACTINI,453.01,449.5
ACTINI,444.64,351.01
ACTINI,452.09,259.51
ACTINI,457.07,259.24
ACTINI,458.94,175.46
ACTINI,456.42,94.56
ACTINI,454.48,76.41
ACTINI,444.59,18.06
ACTINI,425.52,493.72
ACTINI,420.85,409.66
ACTINI,422.62,406.25
ACTINI,420.72,402.9
ACTINI,424.31,363.34
ACTINI,423.93,253.16
ACTINI,420.91,250.57
ACTINI,438.86,237.58
ACTINI,423.5,226.36
ACTINI,437.81,222.09
ACTINI,429.39,208.26
ACTINI,439.0,166.32
ACTINI,437.01,160.16
ACTINI,429.79,67.6
ACTINI,427.23,33.53
ACTINI,425.88,23.46
ACTINI,433.71,21.17
ACTINI,422.49,19.29
ACTINI,421.01,12.83
ACTINI,425.68,18.22
ACTINI,402.51,498.67
ACTINI,416.02,465.76
ACTINI,415.15,422.85
ACTINI,413.14,367.5
ACTINI,410.8,274.24
ACTINI,405.69,243.53
ACTINI,404.4,129.37
ACTINI,417.98,26.97
ACTINI,409.5,28.88
ACTINI,402.69,25.59
ACTINI,413.1,19.27
ACTINI,418.63,18.68
ACTINI,394.54,438.99
ACTINI,388.57,408.52
ACTINI,391.66,386.55
ACTINI,387.41,331.54
ACTINI,380.26,283.61
ACTINI,390.72,247.58
ACTINI,390.56,208.89
ACTINI,397.28,214.95
ACTINI,381.34,189.58
ACTINI,381.72,181.53
ACTINI,386.93,131.27
ACTINI,390.15,95.03
ACTINI,390.5,94.56
ACTINI,379.88,494.54
ACTINI,364.97,473.66
ACTINI,367.67,446.74
ACTINI,361.68,207.79
ACTINI,373.92,195.01
ACTINI,379.62,178.53
ACTINI,379.78,178.66
ACTINI,360.75,24.74
ACTINI,354.04,481.33
ACTINI,351.24,466.18
ACTINI,350.58,422.53
ACTINI,348.37,372.73
ACTINI,340.76,369.08
ACTINI,347.18,295.6
ACTINI,358.6,282.38
ACTINI,344.12,288.53
ACTINI,359.86,244.04
ACTINI,359.82,204.43
ACTINI,348.72,201.9
ACTINI,345.34,182.01
ACTINI,351.47,179.17
ACTINI,343.16,172.17
ACTINI,349.74,172.54
ACTINI,356.84,15.52
ACTINI,352.0,15.53
ACTINI,334.14,467.52
ACTINI,337.93,455.9
ACTINI,333.45,375.55
ACTINI,333.51,301.15
ACTINI,336.23,308.79
ACTINI,338.31,300.93
ACTINI,325.46,199.4
ACTINI,339.15,178.76
ACTINI,325.21,131.75
ACTINI,321.46,3.61
ACTINI,313.25,482.14
ACTINI,311.12,485.98
ACTINI,300.53,482.24
ACTINI,309.4,482.14
ACTINI,313.44,445.84
ACTINI,311.71,439.26
ACTINI,307.89,429.39
ACTINI,316.07,382.88
ACTINI,316.4,373.36
ACTINI,317.62,366.55
ACTINI,316.73,319.65
ACTINI,310.58,222.29
ACTINI,319.73,207.52
ACTINI,317.46,176.9
ACTINI,304.94,144.07
ACTINI,313.36,121.19
ACTINI,288.26,485.93
ACTINI,284.19,480.65
ACTINI,296.3,455.05
ACTINI,290.86,386.74
ACTINI,288.01,385.5
ACTINI,282.62,193.78
ACTINI,281.27,144.85
ACTINI,268.42,493.56
ACTINI,269.3,497.15
ACTINI,273.71,431.96
ACTINI,260.24,399.48
ACTINI,266.12,192.33
ACTINI,268.28,162.88
ACTINI,269.62,44.28
ACTINI,258.3,491.51
ACTINI,258.96,455.21
ACTINI,256.41,405.12
